profile dump
Time|CPU0_Freq(MHz)|CPU1_Freq|CPU2_Freq|CPU3_Freq|CPU4_Freq|CPU5_Freq|CPU6_Freq|CPU7_Freq|GPU_Freq|CPU0_Temp(C)|CPU1_Temp|CPU2_Temp|CPU3_Temp|GPU_Temp|A7_V|A15_V|MEM_V|GPU_V|A7_W|A15W|MEM_W|GPU_W|Watt_Sum
2016-03-20 22:35:34|1400|1400|1400|1400|2000|2000|2000|2000|600| 57| 54| 61| 56| 51|1.2|1.3|1.2|0.9|0.193|1|0.059|0.105|1.361
2016-03-20 22:35:35|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.193|1.01|0.059|0.105|1.364
2016-03-20 22:35:36|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.191|1.01|0.059|0.106|1.363
2016-03-20 22:35:37|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.191|1.01|0.056|0.105|1.359
2016-03-20 22:35:38|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.193|1.01|0.059|0.106|1.364
2016-03-20 22:35:39|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.194|1|0.059|0.105|1.362
2016-03-20 22:35:40|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.193|1.01|0.059|0.105|1.364
2016-03-20 22:35:41|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.193|1.01|0.056|0.106|1.361
2016-03-20 22:35:42|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 51|1.2|1.3|1.2|0.9|0.191|1.01|0.059|0.106|1.366
2016-03-20 22:35:43|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.193|1.01|0.056|0.106|1.362
2016-03-20 22:35:44|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.194|1.01|0.058|0.106|1.366
2016-03-20 22:35:45|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.194|1.01|0.059|0.106|1.366
2016-03-20 22:35:46|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.194|1.01|0.059|0.106|1.367
2016-03-20 22:35:47|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 54| 52|1.2|1.3|1.2|0.9|0.193|1.01|0.056|0.106|1.363
2016-03-20 22:35:48|1400|1400|1400|1400|2000|2000|2000|2000|600| 56| 54| 56| 55| 52|1.2|1.3|1.2|0.9|0.194|1.01|0.059|0.107|1.371
2016-03-20 22:35:49|1400|1400|1400|1400|2000|2000|2000|2000|600| 56| 54| 56| 55| 52|1.2|1.3|1.2|0.9|0.194|1.01|0.059|0.107|1.37
2016-03-20 22:35:50|1400|1400|1400|1400|2000|2000|2000|2000|600| 55| 54| 56| 55| 52|1.2|1.3|1.2|0.9|0.195|1.01|0.056|0.107|1.369


 Total Running time of the program is::17secs
